iter	Logloss
140	0.6259920532
141	0.6258601777
142	0.6256654033
143	0.6254626372
144	0.6252614821
145	0.6250968854
146	0.6249368842
147	0.6247410067
148	0.6245386206
149	0.6243805724
150	0.6241945486
151	0.6240374742
152	0.6239098163
153	0.6237327568
154	0.6235238765
155	0.6233845534
156	0.6232049924
157	0.6230367891
158	0.6228690751
159	0.622703326
160	0.6225235144
161	0.6223374218
162	0.6221954751
163	0.6220710641
164	0.621912206
165	0.6218013498
166	0.6216349397
167	0.6215196287
168	0.6213783574
169	0.6212269204
170	0.6210671212
171	0.6209431845
172	0.6207880381
173	0.6206333269
174	0.6204757492
175	0.6203542693
176	0.6201434119
177	0.6200172796
178	0.6198760617
179	0.6197272668
180	0.619604376
181	0.6194871427
182	0.6193338103
183	0.6192322666
184	0.6190987551
185	0.6189864713
186	0.6188396538
187	0.6187188176
188	0.6185822758
189	0.6184560281
190	0.6183199856
191	0.6181345872
192	0.6180015292
193	0.6178491583
194	0.6177192428
195	0.6175429752
196	0.6174027436
197	0.6172828529
198	0.6171758504
199	0.6170177726
200	0.6169313091
201	0.6168189436
202	0.6166474833
203	0.6165125934
204	0.6164017584
205	0.6162884075
206	0.6161916283
207	0.616047263
208	0.6159246169
209	0.6158066465
210	0.6157068988
211	0.6156313984
212	0.6155233931
213	0.6153577516
214	0.615273619
215	0.6151490994
216	0.6150535952
217	0.6149099298
218	0.6147797246
219	0.6146641953
220	0.6145789182
221	0.614426167
222	0.6143253462
223	0.6142396939
224	0.6141482252
225	0.6140503346
226	0.6139471409
227	0.613832095
228	0.6137182531
229	0.613613781
230	0.6135109242
231	0.6134299629
232	0.6133614564
233	0.613267132
234	0.6131735222
235	0.6130139994
236	0.6128300969
237	0.612731552
238	0.6126640449
239	0.612558875
240	0.6124742574
241	0.6123824922
242	0.6122931227
243	0.6121939715
244	0.6121061562
245	0.6120174755
246	0.6119545583
247	0.6118565336
248	0.6117615866
249	0.6116349678
250	0.6115463643
251	0.6114755611
252	0.6113910895
253	0.6113071231
254	0.6111635248
255	0.6110689051
256	0.6109741949
257	0.6108731296
258	0.6107681401
259	0.6106702979
260	0.6105644907
261	0.6104645842
262	0.6103949585
263	0.6102185046
264	0.6101118052
265	0.6099881974
266	0.6098530217
267	0.6097882787
268	0.6096780553
269	0.6096021565
270	0.609514796
271	0.6094264821
272	0.6092904413
273	0.6092058491
274	0.6091304943
275	0.609043682
276	0.6089739775
277	0.6088612085
278	0.608793978
279	0.6087486176
280	0.6086894623
281	0.6086226239
282	0.6085412973
283	0.6084633748
284	0.6084051543
285	0.6083413774
286	0.6082536492
287	0.6081454497
288	0.6080265771
289	0.607962348
290	0.6079111641
291	0.6078195306
292	0.6077358927
293	0.6076860819
294	0.6076156794
295	0.6074855183
296	0.6074308476
297	0.6073371379
298	0.6072599492
299	0.6071984837
300	0.6070684734
301	0.6069932724
302	0.6068962258
303	0.6068273932
304	0.6067262773
305	0.6066654238
306	0.606567664
307	0.6064954676
308	0.6063786636
309	0.6063094052
310	0.606217908
311	0.606134129
312	0.6060693671
313	0.6060063293
314	0.6059337913
315	0.6058104912
316	0.6057429246
317	0.6057030629
318	0.6056306286
319	0.6055302483
320	0.6054586663
321	0.6054043818
322	0.6053584967
323	0.6052877252
324	0.6052024151
325	0.6051091305
326	0.6049869047
327	0.6049184469
328	0.6048211243
329	0.6047636414
330	0.6046602803
331	0.6045989029
332	0.604529183
333	0.6044569894
334	0.6044108527
335	0.6043469216
336	0.6042730824
337	0.6041825354
338	0.6041148429
339	0.6040532213
340	0.6039903711
341	0.6038752324
342	0.6038177813
343	0.6037673227
344	0.6037138188
345	0.6036643213
346	0.6035788457
347	0.6034771408
348	0.6033907341
349	0.6033198534
350	0.6032460103
351	0.6031720487
352	0.6031059162
353	0.6030073066
354	0.6029198765
355	0.602802298
356	0.6027328175
357	0.6026165352
358	0.602537402
359	0.6024927073
360	0.6024001099
361	0.602330842
362	0.6022855804
363	0.6022342592
364	0.6021842273
365	0.6021298797
366	0.6020717793
367	0.602019401
368	0.6019642818
369	0.6019202002
370	0.6018682449
371	0.6017764834
372	0.6017164961
373	0.6016098509
374	0.6015555528
375	0.6014985189
376	0.6014430322
377	0.6013668917
378	0.6013124371
379	0.6012771898
380	0.6012170095
381	0.6011328499
382	0.6010586406
383	0.6010154939
384	0.6009508712
385	0.6008902996
386	0.6008222671
387	0.6007681334
388	0.6007043916
389	0.6006624723
390	0.6006164151
391	0.6004939399
392	0.6004525456
393	0.6003552446
394	0.6002903455
395	0.6002191138
396	0.6001812926
397	0.6001278746
398	0.6000810669
399	0.6000428628
400	0.5999800128
401	0.5999296333
402	0.5998781771
403	0.5998252109
404	0.5997832596
405	0.5997322711
406	0.5996552104
407	0.5996119868
408	0.5995507732
409	0.5994968753
410	0.5994553263
411	0.599402881
412	0.5993202773
413	0.5992738975
414	0.5992158995
415	0.5991807473
416	0.5991334019
417	0.5990695402
418	0.5990148837
419	0.5989545699
420	0.5989071138
421	0.5988458593
422	0.5988116513
423	0.5987615083
424	0.5987145909
425	0.5986527756
426	0.59861909
427	0.598561441
428	0.5985176556
429	0.5984744388
430	0.5984263133
431	0.5983657583
432	0.5983049074
433	0.5982530189
434	0.5982205355
435	0.5981626871
436	0.5980777425
437	0.5980379398
438	0.5979796636
439	0.5979336127
440	0.5978977749
441	0.5978589796
442	0.5978150215
443	0.5977736245
444	0.5977226759
445	0.5976742852
446	0.5976426897
447	0.5976008515
448	0.5975504296
449	0.5975026893
450	0.5974706842
451	0.5974428446
452	0.5974050135
453	0.5973622108
454	0.5973175619
455	0.5972849904
456	0.5972506
457	0.5972022635
458	0.5971570448
459	0.5971126317
460	0.5970830011
461	0.5970543298
462	0.5970006096
463	0.5969634637
464	0.5969304408
465	0.5968774624
466	0.5968253843
467	0.596773081
468	0.5967246986
469	0.5966777712
470	0.5965986127
471	0.5965398846
472	0.5964669622
473	0.5964258584
474	0.5963949284
475	0.5963537739
476	0.5963118108
477	0.5962732432
478	0.5962289046
479	0.5961916272
480	0.5961517414
481	0.5961129613
482	0.5960662462
483	0.5960292134
484	0.5959996558
485	0.5959561149
486	0.5959094113
487	0.5958508868
488	0.595784672
489	0.5957256394
490	0.5956707247
491	0.5956008651
492	0.5955442677
493	0.5954848124
494	0.5954435863
495	0.5954036882
496	0.5953722185
497	0.5953328901
498	0.5952824215
499	0.5952323469
500	0.5952011886
501	0.5951678934
502	0.5951235874
503	0.595077445
504	0.5950309856
505	0.5950002166
506	0.5949706406
507	0.594913437
508	0.5948795958
509	0.5948446057
510	0.5947987988
511	0.5947568519
512	0.5947232426
513	0.594689797
514	0.5946544336
515	0.5946023654
516	0.5945471891
517	0.5945010568
518	0.594450636
519	0.5943752056
520	0.5943165454
521	0.5942809206
522	0.5942512286
523	0.5942052204
524	0.594161581
525	0.5941204948
526	0.5940817052
527	0.5940431724
528	0.5940075939
529	0.5939732074
530	0.5939377016
531	0.5939178899
532	0.5938736688
533	0.5938271032
534	0.5937835965
535	0.5937490271
536	0.593722906
537	0.5936835938
538	0.5936235659
539	0.5935786307
540	0.5935455936
541	0.593511371
542	0.5934891161
543	0.5934509296
544	0.5934147709
545	0.5933803569
546	0.5933355054
